"","id","legisNames","party","year","icpsrst","district","incumb","numdvt","numrvt","numovt","statenm","stpost","fipsst","Office","CensusPop","Area","RedistrictedDate","RepCandidate","RepStatus","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RaceNotes","dpvote","winner","numdvt_js","numrvt_js","numovt_js","handcorrected","y","x"
"DONOVAN (R NY-11)","NY-11","DONOVAN (R NY-11)","R",2016,NA,11,-1,85257,142934,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"Daniel Donovan",NA,NA,NA,NA,0.354512710010486,55
"MALONEY (D NY-12)","NY-12","MALONEY (D NY-12)","D",2016,NA,12,1,244199,49350,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.1,"Carolyn Maloney",NA,NA,NA,NA,-0.885963022347982,13.9
"ESPAILLAT (D NY-13)","NY-13","ESPAILLAT (D NY-13)","D",2016,NA,13,NA,206994,16083,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,"Adriano Espaillat",NA,NA,NA,NA,-1.52111844814677,5.5
"CROWLEY (D NY-14)","NY-14","CROWLEY (D NY-14)","D",2016,NA,14,1,147587,30545,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.7,"Joe Crowley",NA,NA,NA,NA,-1.05484720999542,20.3
"SERRANO (D NY-15)","NY-15","SERRANO (D NY-15)","D",2016,NA,15,1,165688,6129,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,"Jose E. Serrano",NA,NA,NA,NA,-1.07120223064131,5
"ENGEL (D NY-16)","NY-16","ENGEL (D NY-16)","D",2016,NA,16,1,209857,0,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.9,"Eliot Engel",NA,NA,NA,NA,-1.01254072905629,23.1
"LOWEY (D NY-17)","NY-17","LOWEY (D NY-17)","D",2016,NA,17,1,214530,0,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.4,"Nita Lowey",NA,NA,NA,NA,-1.2566573957295,39.6
"MALONEY (D NY-18)","NY-18","MALONEY (D NY-18)","D",2016,NA,18,1,162060,129369,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,"Sean Patrick Maloney",NA,NA,NA,NA,-0.71699398054859,51
"FASO (R NY-19)","NY-19","FASO (R NY-19)","R",2016,NA,19,NA,138800,164800,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,"John Faso",NA,NA,NA,NA,0.26450939236644,53.6
"KING (R NY-2)","NY-2","KING (R NY-2)","R",2016,NA,2,-1,105100,174961,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3,"Peter King",NA,NA,NA,NA,0.402551059166117,54.7
"TONKO (D NY-20)","NY-20","TONKO (D NY-20)","D",2016,NA,20,1,213021,100738,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1,"Paul Tonko",NA,NA,NA,NA,-1.21601370233695,42.9
"STEFANIK (R NY-21)","NY-21","STEFANIK (R NY-21)","R",2016,NA,21,-1,82161,177886,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6,"Elise Stefanik",NA,NA,NA,NA,0.337664983602994,57.4
"TENNEY (R NY-22)","NY-22","TENNEY (R NY-22)","R",2016,NA,22,NA,114266,129444,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8,"Claudia Tenney",NA,NA,NA,NA,0.808087020791362,58.2
"REED (R NY-23)","NY-23","REED (R NY-23)","R",2016,NA,23,-1,118584,161050,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,"Tom Reed",NA,NA,NA,NA,0.67357645034835,57.9
"KATKO (R NY-24)","NY-24","KATKO (R NY-24)","R",2016,NA,24,-1,119040,182761,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.9,"John Katko",NA,NA,NA,NA,0.330699332723064,48.1
"SLAUGHTER (D NY-25)","NY-25","SLAUGHTER (D NY-25)","D",2016,NA,25,1,182950,142650,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.7,"Louise M. Slaughter",NA,NA,NA,NA,-1.34383858657851,41.3
"HIGGINS (D NY-26)","NY-26","HIGGINS (D NY-26)","D",2016,NA,26,1,215289,73377,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.3,"Brian Higgins",NA,NA,NA,NA,-0.865726242794959,39.7
"COLLINS (R NY-27)","NY-27","COLLINS (R NY-27)","R",2016,NA,27,-1,107832,220885,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,"Chris Collins",NA,NA,NA,NA,1.03796571212922,62.9
"SUOZZI (D NY-3)","NY-3","SUOZZI (D NY-3)","D",2016,NA,3,NA,162947,145706,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1,"Tom Suozzi",NA,NA,NA,NA,-0.515230073256153,46.9
"RICE (D NY-4)","NY-4","RICE (D NY-4)","D",2016,NA,4,1,185286,125865,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,"Kathleen Rice",NA,NA,NA,NA,-0.735979575051262,45.1
"MEEKS (D NY-5)","NY-5","MEEKS (D NY-5)","D",2016,NA,5,1,199552,30257,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.1,"Gregory Meeks",NA,NA,NA,NA,-0.957612136720229,12.9
"MENG (D NY-6)","NY-6","MENG (D NY-6)","D",2016,NA,6,1,136506,50617,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,"Grace Meng",NA,NA,NA,NA,-1.03364884552913,33
"VELAZQUEZ (D NY-7)","NY-7","VELAZQUEZ (D NY-7)","D",2016,NA,7,1,172145,17477,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3,"Nydia Velazquez",NA,NA,NA,NA,-1.08089073438727,10.7
"JEFFRIES (D NY-8)","NY-8","JEFFRIES (D NY-8)","D",2016,NA,8,1,214595,0,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.2,"Hakeem Jeffries",NA,NA,NA,NA,-1.21710957042049,13.8
"CLARKE (D NY-9)","NY-9","CLARKE (D NY-9)","D",2016,NA,9,1,214189,0,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.3,"Yvette Clarke",NA,NA,NA,NA,-1.61452676919013,14.7
"CHABOT (R OH-1)","OH-1","CHABOT (R OH-1)","R",2016,NA,1,-1,144644,210014,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6,"Steve Chabot",NA,NA,NA,NA,1.08636468254704,53.4
"TURNER (R OH-10)","OH-10","TURNER (R OH-10)","R",2016,NA,10,-1,109981,215724,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2,"Mike Turner",NA,NA,NA,NA,0.466230792851395,53.8
"FUDGE (D OH-11)","OH-11","FUDGE (D OH-11)","D",2016,NA,11,1,242917,59769,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.6,"Marcia Fudge",NA,NA,NA,NA,-1.4887904270407,17.4
"TIBERI (R OH-12)","OH-12","TIBERI (R OH-12)","R",2016,NA,12,-1,112638,251266,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,"Pat Tiberi",NA,NA,NA,NA,0.570156345668158,55.9
"RYAN (D OH-13)","OH-13","RYAN (D OH-13)","D",2016,NA,13,1,208610,99377,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.4,"Tim Ryan",NA,NA,NA,NA,-0.928965696766995,46.6
"JOYCE (R OH-14)","OH-14","JOYCE (R OH-14)","R",2016,NA,14,-1,130907,219191,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,"David Joyce",NA,NA,NA,NA,0.375981939222239,56
"STIVERS (R OH-15)","OH-15","STIVERS (R OH-15)","R",2016,NA,15,-1,113960,222847,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9,"Steve Stivers",NA,NA,NA,NA,0.647374426154193,58.1
"RENACCI (R OH-16)","OH-16","RENACCI (R OH-16)","R",2016,NA,16,-1,119830,225794,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,"Jim Renacci",NA,NA,NA,NA,0.490150650479631,58.7
"WENSTRUP (R OH-2)","OH-2","WENSTRUP (R OH-2)","R",2016,NA,2,-1,111694,221193,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6,"Brad Wenstrup",NA,NA,NA,NA,0.921085678951439,58.4
"BEATTY (D OH-3)","OH-3","BEATTY (D OH-3)","D",2016,NA,3,1,199791,91560,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1,"Joyce Beatty",NA,NA,NA,NA,-1.13739648704733,29.9
"JORDAN (R OH-4)","OH-4","JORDAN (R OH-4)","R",2016,NA,4,-1,98981,210227,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3,"Jim Jordan",NA,NA,NA,NA,0.730760075754597,67.7
"LATTA (R OH-5)","OH-5","LATTA (R OH-5)","R",2016,NA,5,-1,100392,244599,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,"Bob Latta",NA,NA,NA,NA,0.903709821122786,63.3
"JOHNSON (R OH-6)","OH-6","JOHNSON (R OH-6)","R",2016,NA,6,-1,88780,213975,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8,"Bill Johnson",NA,NA,NA,NA,0.62143089899773,72.2
"GIBBS (R OH-7)","OH-7","GIBBS (R OH-7)","R",2016,NA,7,-1,89638,198221,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,"Bob Gibbs",NA,NA,NA,NA,1.01751669105387,65.6
"DAVIDSON (R OH-8)","OH-8","DAVIDSON (R OH-8)","R",2016,NA,8,-1,87794,223833,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"Warren Davidson",NA,NA,NA,NA,0.538146480682977,68
"KAPTUR (D OH-9)","OH-9","KAPTUR (D OH-9)","D",2016,NA,9,1,193966,88427,NA,NA,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,"Marcy Kaptur",NA,NA,NA,NA,-0.743450761427969,38.3
"BRIDENSTINE (R OK-1)","OK-1","BRIDENSTINE (R OK-1)","R",2016,NA,1,-1,0,0,NA,NA,"OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,"Jim Bridenstine",NA,NA,NA,NA,1.11508214152369,65.2
"MULLIN (R OK-2)","OK-2","MULLIN (R OK-2)","R",2016,NA,2,-1,62387,189839,NA,NA,"OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,"Markwayne Mullin",NA,NA,NA,NA,0.601913773856064,76.2
"LUCAS (R OK-3)","OK-3","LUCAS (R OK-3)","R",2016,NA,3,-1,63090,227525,NA,NA,"OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,"Frank Lucas",NA,NA,NA,NA,0.592133213621829,77.9
"COLE (R OK-4)","OK-4","COLE (R OK-4)","R",2016,NA,4,-1,76472,204143,NA,NA,"OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.1,"Tom Cole",NA,NA,NA,NA,0.449293962421508,69.9
"RUSSELL (R OK-5)","OK-5","RUSSELL (R OK-5)","R",2016,NA,5,-1,103273,160184,NA,NA,"OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,"Steve Russell",NA,NA,NA,NA,0.196855640833486,57.2
"BONAMICI (D OR-1)","OR-1","BONAMICI (D OR-1)","D",2016,NA,1,1,225391,139756,NA,NA,"OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.4,"Suzanne Bonamici",NA,NA,NA,NA,-0.953346965087303,37.6
"WALDEN (R OR-2)","OR-2","WALDEN (R OR-2)","R",2016,NA,2,-1,106640,272952,NA,NA,"OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,"Greg Walden",NA,NA,NA,NA,0.781895288483465,60.8
"BLUMENAUER (D OR-3)","OR-3","BLUMENAUER (D OR-3)","D",2016,NA,3,1,274687,0,NA,NA,"OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9,"Earl Blumenauer",NA,NA,NA,NA,-0.950347449014856,24.1
"DEFAZIO (D OR-4)","OR-4","DEFAZIO (D OR-4)","D",2016,NA,4,1,220628,157743,NA,NA,"OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1,"Peter DeFazio",NA,NA,NA,NA,-0.750724046147798,49.9
"SCHRADER (D OR-5)","OR-5","SCHRADER (D OR-5)","D",2016,NA,5,1,199505,160443,NA,NA,"OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3,"Kurt Schrader",NA,NA,NA,NA,-0.449370339287889,47.7
"BRADY (D PA-1)","PA-1","BRADY (D PA-1)","D",2016,NA,1,1,245791,53219,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4,"Robert Brady",NA,NA,NA,NA,-1.00759383662983,18.6
"MARINO (R PA-10)","PA-10","MARINO (R PA-10)","R",2016,NA,10,-1,89823,211282,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,"Tom Marino",NA,NA,NA,NA,0.614733527509208,68.6
"BARLETTA (R PA-11)","PA-11","BARLETTA (R PA-11)","R",2016,NA,11,-1,113800,199421,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,"Lou Barletta",NA,NA,NA,NA,1.1547552184157,62.4
"ROTHFUS (R PA-12)","PA-12","ROTHFUS (R PA-12)","R",2016,NA,12,-1,137353,221851,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,"Keith Rothfus",NA,NA,NA,NA,1.26245063247078,60.8
"BOYLE (D PA-13)","PA-13","BOYLE (D PA-13)","D",2016,NA,13,1,239316,0,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3,"Brendan Boyle",NA,NA,NA,NA,-0.906059643553965,32.7
"DOYLE (D PA-14)","PA-14","DOYLE (D PA-14)","D",2016,NA,14,1,255293,87999,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.4,"Mike Doyle",NA,NA,NA,NA,-1.11891574145497,31.6
"DENT (R PA-15)","PA-15","DENT (R PA-15)","R",2016,NA,15,-1,124129,190618,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,"Charles Dent",NA,NA,NA,NA,0.333330448302794,54
"SMUCKER (R PA-16)","PA-16","SMUCKER (R PA-16)","R",2016,NA,16,NA,134586,168669,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,"Lloyd Smucker",NA,NA,NA,NA,0.459708606615673,53.6
"CARTWRIGHT (D PA-17)","PA-17","CARTWRIGHT (D PA-17)","D",2016,NA,17,1,157734,135430,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,"Matthew Cartwright",NA,NA,NA,NA,-0.773231276686448,55.2
"MURPHY (R PA-18)","PA-18","MURPHY (R PA-18)","R",2016,NA,18,-1,0,293684,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9,"Tim Murphy",NA,NA,NA,NA,0.733403951669872,60.1
"EVANS (D PA-2)","PA-2","EVANS (D PA-2)","D",2016,NA,2,1,322514,35131,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,"Dwight Evans",NA,NA,NA,NA,-1.38054491069832,7.8
"KELLY (R PA-3)","PA-3","KELLY (R PA-3)","R",2016,NA,3,-1,0,244893,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,"Mike Kelly",NA,NA,NA,NA,1.64208517765122,63.6
"PERRY (R PA-4)","PA-4","PERRY (R PA-4)","R",2016,NA,4,-1,113372,220628,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8,"Scott Perry",NA,NA,NA,NA,0.61098278968325,61.2
"THOMPSON (R PA-5)","PA-5","THOMPSON (R PA-5)","R",2016,NA,5,-1,101082,206751,NA,NA,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Glenn Thompson",NA,NA,NA,NA,0.64854674163954,65
